id,state,code,col,row,value,s1_lean,s2_lean,s1_control,s2_control
1,Alaska,AK,0,0,1,Likely R,Not up for reelection,Republican,Republican
35,Alabama,AL,6,6,35,Lean R,Not up for reelection,Democrat,Republican
23,Arkansas,AR,4,5,23,Solid R,Not up for reelection,Republican,Republican
9,Arizona,AZ,1,5,9,Lean D,Not up for reelection,Republican,Democrat
4,California,CA,0,4,4,Not up for reelection,Not up for reelection,Democrat,Democrat
12,Colorado,CO,2,4,12,Lean D,Not up for reelection,Republican,Democrat
46,Connecticut,CT,9,3,46,Not up for reelection,Not up for reelection,Democrat,Democrat
47,Delaware,DE,9,4,47,Solid D,Not up for reelection,Democrat,Democrat
43,Florida,FL,8,7,43,Not up for reelection,Not up for reelection,Republican,Republican
39,Georgia,GA,7,6,39,Toss up,Lean R,Republican,Republican
5,Hawaii,HI,0,7,5,Not up for reelection,Not up for reelection,Democrat,Democrat
21,Iowa,IA,4,3,21,Toss up,Not up for reelection,Republican,Republican
6,Idaho,ID,1,2,6,Solid R,Not up for reelection,Republican,Republican
26,Illinois,IL,5,2,26,Solid D,Not up for reelection,Democrat,Democrat
27,Indiana,IN,5,3,27,Not up for reelection,Not up for reelection,Republican,Republican
17,Kansas,KS,3,5,17,Lean R,Not up for reelection,Republican,Republican
28,Kentucky,KY,5,4,28,Likely R,Not up for reelection,Republican,Republican
24,Louisiana,LA,4,6,24,Solid R,Not up for reelection,Republican,Republican
45,Massachusetts,MA,9,2,45,Solid D,Not up for reelection,Democrat,Democrat
42,Maryland,MD,8,4,42,Not up for reelection,Not up for reelection,Democrat,Democrat
48,Maine,ME,10,0,48,Toss up,Not up for reelection,Republican,Independent
31,Michigan,MI,6,2,31,Lean D,Not up for reelection,Democrat,Democrat
20,Minnesota,MN,4,2,20,Solid D,Not up for reelection,Democrat,Democrat
22,Missouri,MO,4,4,22,Not up for reelection,Not up for reelection,Republican,Republican
30,Mississippi,MS,5,6,30,Solid R,Not up for reelection,Republican,Republican
10,Montana,MT,2,2,10,Toss up,Not up for reelection,Democrat,Republican
34,North Carolina,NC,6,5,34,Toss up,Not up for reelection,Republican,Republican
14,North Dakota,ND,3,2,14,Not up for reelection,Not up for reelection,Republican,Republican
16,Nebraska,NE,3,4,16,Solid R,Not up for reelection,Republican,Republican
49,New Hampshire,NH,10,1,49,Solid D,Not up for reelection,Democrat,Democrat
41,New Jersey,NJ,8,3,41,Solid D,Not up for reelection,Democrat,Democrat
13,New Mexico,NM,2,5,13,Solid D,Not up for reelection,Democrat,Democrat
7,Nevada,NV,1,3,7,Not up for reelection,Not up for reelection,Democrat,Democrat
40,New York,NY,8,2,40,Not up for reelection,Not up for reelection,Democrat,Democrat
32,Ohio,OH,6,3,32,Not up for reelection,Not up for reelection,Democrat,Republican
18,Oklahoma,OK,3,6,18,Solid R,Not up for reelection,Republican,Republican
3,Oregon,OR,0,3,3,Solid D,Not up for reelection,Democrat,Democrat
36,Pennsylvania,PA,7,3,36,Not up for reelection,Not up for reelection,Democrat,Republican
50,Rhode Island,RI,10,3,50,Solid D,Not up for reelection,Democrat,Democrat
38,South Carolina,SC,7,5,38,Lean R,Not up for reelection,Republican,Republican
15,South Dakota,SD,3,3,15,Solid R,Not up for reelection,Republican,Republican
29,Tennessee,TN,5,5,29,Solid R,Not up for reelection,Republican,Republican
19,Texas,TX,3,7,19,Likely R,Not up for reelection,Republican,Republican
8,Utah,UT,1,4,8,Not up for reelection,Not up for reelection,Republican,Republican
37,Virginia,VA,7,4,37,Solid D,Not up for reelection,Democrat,Democrat
44,Vermont,VT,9,1,44,Not up for reelection,Not up for reelection,Independent,Democrat
2,Washington,WA,0,2,2,Not up for reelection,Not up for reelection,Democrat,Democrat
25,Wisconsin,WI,5,1,25,Not up for reelection,Not up for reelection,Democrat,Republican
33,West Virginia,WV,6,4,33,Solid R,Not up for reelection,Republican,Democrat
11,Wyoming,WY,2,3,11,Solid R,Not up for reelection,Republican,Republican
